,Topic,words,cs
2,Topic3,"{'break', 'size', 'minut', 'treat', 'dog', 'chew', 'small', 'ball', 'piec', 'hard'}",-2.1381777716807964
5,Topic6,"{'like', 'cat', 'refus', 'food', 'tri', 'picki', 'eat', 'eater', 'away', 'walk'}",-2.29067931347876
3,Topic4,"{'store', 'price', 'receiv', 'food', 'order', 'chewi', 'purchas', 'product', 'ship', 'amazon'}",-2.3523205337981707
6,Topic7,"{'like', 'dog', 'food', 'switch', 'bird', 'kibbl', 'ingredi', 'blue', 'free', 'grain'}",-2.728729910301221
8,Topic9,"{'like', 'chunk', 'leav', 'food', 'meat', 'teeth', 'lick', 'gravi', 'cat', 'water'}",-2.790506033348109
9,Topic10,"{'like', 'chicken', 'dog', 'good', 'flavor', 'food', 'donat', 'touch', 'pate', 'cat'}",-2.8306489993823383
4,Topic5,"{'problem', 'help', 'product', 'dog', 'food', 'flea', 'work', 'sick', 'china', 'week'}",-2.9054928105982483
1,Topic2,"{'stick', 'bulli', 'terribl', 'like', 'dog', 'love', 'food', 'smell', 'odor', 'puppi'}",-3.1289967749060894
0,Topic1,"{'packag', 'dent', 'journey', 'food', 'order', 'damag', 'arriv', 'open', 'product', 'can'}",-3.1813539448732397
7,Topic8,"{'pill', 'treat', 'pocket', 'money', 'royal', 'peanut', 'wast', 'butter', 'hat', 'canin'}",-4.233041714411934
